trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.5, 'e': 0.5425201222922789}",20,5,-83.1050228629081,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 2}",1
123,False,"{'a': 0.5, 'e': 0.5398075216808175}",20,0,-14.535573461259894,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.5371084840724134}",20,9,-20.649897330887164,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.5344229416520513}",20,0,-51.03688797345915,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.531750826943791}",25,10,-24.09776338321765,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.5290920728090721}",20,16,8.79171818619171,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.5264466124450268}",25,1,-11.09523902921564,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.5238143793828016}",20,0,-64.16440566749446,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.5211953074858876}",20,9,-23.127420375181522,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.5185893309484582}",25,9,-8.672432377853356,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.5159963842937159}",25,8,-5.829541236724083,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.5134164023722473}",20,0,-12.267894234506873,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.510849320360386}",25,6,-2.9847142646437717,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.5082950737585841}",25,0,15.930008703138315,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.5057535983897912}",30,5,-42.89738267606466,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.5032248303978422}",25,0,-113.11920090241969,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.500708706245853}",20,13,11.616019386625124,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.4982051627146237}",25,14,-4.919066500562501,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.49571413690105054}",35,25,19.98701385963382,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.4932355662165453}",20,1,-44.80883667320375,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.4907693883854626}",20,6,-15.3277839932239,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.4883155414435353}",30,9,-186.85459319915947,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 3}",1
144,False,"{'a': 0.5, 'e': 0.4858739637363176}",25,18,-8.795116133194512,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.483444593917636}",20,10,-41.52626162100093,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.4810273709480478}",20,9,8.300013885976565,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.47862223409330756}",20,1,-36.23631262157197,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.47622912292284103}",35,21,0.5261101631877796,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.4738479773082268}",30,11,-13.011145545610255,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
